age,distrib
1,2.3529411764705888
2,2.016806722689076
3,3.6134453781512614
4,1.6806722689075635
5,1.2605042016806727
6,1.0924369747899163
7,0.7563025210084036
8,1.0924369747899163
9,4.033613445378152
10,5.96638655462185
11,12.268907563025213
12,11.9327731092437
13,5.6302521008403374
14,4.117647058823531
15,2.436974789915967
16,1.6806722689075635
17,1.5126050420168071
18,1.6806722689075635
19,1.5126050420168071
20,2.436974789915967
21,2.268907563025211
22,1.2605042016806727
23,1.932773109243698
24,1.1764705882352944
25,1.0924369747899163
26,1.7647058823529418
27,3.0252100840336142
28,1.0924369747899163
29,1.344537815126051
30,2.5210084033613454
31,0.92436974789916
32,1.0924369747899163
33,1.2605042016806727
34,1.1764705882352944
35,1.008403361344538
36,0.92436974789916
37,0.92436974789916
38,0.92436974789916
39,0.92436974789916
40,0.92436974789916
41,0.8403361344537817
42,0.8403361344537817
43,0.8403361344537817
44,0.8403361344537817
