age,distrib
1,0.95238095
2,0.95238095
3,0.95238095
4,0.95238095
5,0.95238095
6,3.15981426
7,6.64297934
8,4.1268588
9,3.0951441
10,1.43778317
11,1.67390446
12,4.00804617
13,2.60936589
14,4.97960258
15,9.57870397
16,0.0
17,2.20329743
18,5.97672626
19,5.34205629
20,6.07448349
21,8.28981257
22,5.90002444
23,3.60348166
24,1.6724005
25,4.1584419
26,3.15379843
27,1.19113417
28,1.70548756
29,4.65474781
