age,distrib
1,2.49
2,0.55
3,0.0
4,0.0
5,2.64
6,0.55
7,6.75
8,6.74
9,0.0
10,1.97
11,7.87
12,7.34
13,10.19
14,9.47
15,11.9
16,5.55
17,2.3
18,4.8
19,0.89
20,0.0
21,0.0
22,3.42
23,1.02
24,0.56
25,0.71
26,0.0
27,0.0
28,0.0
29,1.39
30,3.21
31,3.0
32,1.65
33,3.04
