age,distrib
1,2.8
2,2.4
3,4.3
4,2.0
5,1.5
6,1.3
7,0.9
8,1.3
9,4.8
10,7.1
11,14.6
12,14.2
13,6.7
14,4.9
15,2.9
16,2.0
17,1.8
18,2.0
19,1.8
20,2.9
21,2.7
22,1.5
23,2.3
24,1.4
25,1.3
26,2.1
27,3.6
28,1.3
29,1.6
