age,distrib
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,3.3333333333333335
9,6.666666666666667
10,0.0
11,0.0
12,3.3333333333333335
13,3.3333333333333335
14,0.0
15,3.3333333333333335
16,3.3333333333333335
17,13.333333333333334
18,10.0
19,3.3333333333333335
20,6.666666666666667
21,6.666666666666667
22,3.3333333333333335
23,3.3333333333333335
24,0.0
25,3.3333333333333335
26,6.666666666666667
27,0.0
28,3.3333333333333335
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,3.3333333333333335
36,3.3333333333333335
37,0.0
38,3.3333333333333335
39,6.666666666666667
