age,distrib
1,12.539184952978058
2,12.539184952978058
3,6.269592476489029
4,6.269592476489029
5,6.269592476489029
6,3.761755485893417
7,3.761755485893417
8,3.761755485893417
9,3.761755485893417
10,3.761755485893417
11,2.5078369905956115
12,2.5078369905956115
13,2.5078369905956115
14,2.5078369905956115
15,2.5078369905956115
16,1.5673981191222572
17,1.5673981191222572
18,1.5673981191222572
19,1.5673981191222572
20,1.5673981191222572
21,0.9404388714733543
22,0.9404388714733543
23,0.9404388714733543
24,0.9404388714733543
25,0.9404388714733543
26,0.9404388714733543
27,0.9404388714733543
28,0.9404388714733543
29,0.9404388714733543
30,0.9404388714733543
31,0.6269592476489029
32,0.6269592476489029
33,0.6269592476489029
34,0.6269592476489029
35,0.6269592476489029
36,0.6269592476489029
37,0.6269592476489029
38,0.6269592476489029
39,0.6269592476489029
40,0.6269592476489029
41,0.31347962382445144
42,0.31347962382445144
43,0.31347962382445144
44,0.31347962382445144
