age,distrib
1,2.83
2,1.76
3,2.3
4,2.58
5,2.26
6,0.9
7,0.82
8,3.37
9,7.77
10,13.53
11,12.39
12,4.53
13,3.42
14,3.17
15,2.52
16,2.1
17,3.3
18,2.15
19,3.35
20,2.89
21,2.52
22,2.13
23,2.11
24,2.65
25,3.32
26,2.99
27,2.65
28,2.49
29,1.2
