age,distrib
1,3.317804973859207
2,6.975128305927281
3,4.333201737255864
4,3.2499013031833868
5,1.5096723255070685
6,1.7575996841282722
7,4.208448479896288
8,2.7398341887870643
9,5.228582707722979
10,10.057639166085064
11,0.0
12,2.313462297352473
13,6.2755625737595535
14,5.609159099363739
15,6.3782076592711885
16,8.704303197679629
17,6.1950256610618135
18,3.7836557445596464
19,1.7560205289962763
20,4.366363995027777
21,3.3114883533312236
22,1.250690879995941
23,1.7907619419001841
24,4.88748519534807
