id,label,unit,definition,definitionSource,ACLTag
flue_gas_co2_ratio,CO2 concentration in Flue gas,,Percentage of C02 present in Flue gas emitted by the power plant,,
flue_gas_effect,Flue gas effect,,,,
flue_gas_mean,Average CO2 concentration in Flue gas,,Average CO2 concentration in Flue gas for all energies considered,,
flue_gas_prod_ratio,Flue Gas Production Ratio,-,Ratio of flue gas production for each emissing factory vs the total flue gas production (will be useful to report CCS on emissing technologies in later work),,
flue_gas_production,Total Flue Gas Production,Mt,"Total flue gas production, sum of flue gas production of each emissing factory",,
hydrogen.gaseous_hydrogen.data_fuel_dict,Gaseous hydrogen data fuel dict,,,,
hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,Electrolysis AWE array mix,%,,,
hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,Electrolysis PEM array mix,%,,,
hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,Electrolysis SOEC array mix,%,,,
hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,WaterGasShift array mix,%,,,
hydrogen_gaseous_hydrogen_array_mix,Gaseous hydrogen array mix,%,,,
hydrogen_liquid_hydrogen_HydrogenLiquefaction_array_mix,HydrogenLiquefaction array mix,%,,,
hydrogen_liquid_hydrogen_array_mix,Hydrogen liquid array mix,%,,,
hydropower_constraint_ref,Hydropower production constraint reference,TWh,Hydropower production reference for constraint computation,,
hydropower_production_current,hydropower production current,Twh,,,
initial_age_distrib,Production Plant Initial Age Distribution,%,,,
initial_production,Initial Production,TWh,,,
invest_before_ystart,Investments before year start,G$,Investments before year start for the technology in order to compute the predicted production of the energy of planned technology plants,,
invest_ccs_mix,invest CCS mix,,,,
invest_energy_mix,Energy Mix Investment Coefficients,,Coefficients of energy mix investments (not normalized) to distribute the total investments,,
invest_level,Total Investments,G$,Total investments ,,
invest_mix,Investment mix,,"For each year, give the weight of the investment in each concerned sector",,
invest_objective,Invest objective,,,,
invest_objective_ref,Invest objective ref,,,,
invest_techno_mix,Techno Mix Investment Coefficients,,Coefficients of technology mix investments (not normalized) for a specific energy to distribute the energy investments,,
is_apply_ratio,Is apply ratio,,,,
is_apply_resource_ratio,Is apply resource ratio,,,,
is_stream_demand,Is stream demand,,,,
land_demand_df,Land demand by technology,Gha,Land surface requested by each technologies to fullfilled their production objective,,
land_surface_for_food_df,Agricultural surface for food,Gha,Needed agricole surface for food depending on the population,,
land_use_required,Required land surface,(Gha),,,
linearization_mode,Linearization Mode,,,,
liquid_fuel_FischerTropsch_array_mix,Liquid fuel FischerTropsch array mix,%,,,
liquid_fuel_Refinery_array_mix,Liquid fuel Refinery array mix,%,,,
liquid_fuel_array_mix,Liquid fuel array mix,%,,,
liquid_hydrogen_constraint_ref,Liquid hydrogen constraint reference,,Liquid hydrogen production reference for constraint computation,,
liquid_hydrogen_percentage,Liquid hydrogen percentage,,,,
margin,Price Margin,%,Margin on service price,,CC - Costs
market_demand,Market Demand,Mt/year,Market Demand,,
mean_age_production,Average age of production plants,,Production Plants Average Age,,
methane_FossilGas_array_mix,Methane FossilGas array mix,%,,,
methane_UpgradingBiogas_array_mix,Methane UpgradingBiogas array mix,%,,,
methane_array_mix,Methane array mix,%,,,
minimum_energy_production,Minimum energy production,TWh,,,
mix_detailed_prices,Detailed mix prices,$/MWh,Prices of residues and not residues,,
mix_detailed_production,Detailed mix production,TWh,Production load of residues and not residues ,,
needed_syngas_ratio,Needed syngas ratio,,,,
normalization_value_demand_constraints,Normalization value demand constraints,,,,
other_fuel_dict,Other fuel dict,,,,
percentage_resource,Resource Percentage,%,,,
primary_energies_production,Primary energies production,Twh,,,
primary_energy_percentage,Primary energy percentage,,,,
prod_hydropower_constraint,Prod hydropower constraint,,,,
production_energy_net_positive,Production energy net positive,TWh,,,
production_threshold,Production threshold,,,,
ratio_available_carbon_capture,Ratio available carbon capture,-,,,
ratio_objective,Ratio objective,-,,,
ratio_ref,Ratio Objective Reference,-,Reference for the ratio objective,,
ressources_CO2_emissions,CO2 intensity from Resources,kgCO2/kg,,,
ressources_price,Resources Price,$/t,Ressources Price,,
scaling_factor_energy_consumption,Scaling factor energy consumption,,,,
scaling_factor_energy_investment,Scaling factor energy investment,,,,
scaling_factor_energy_production,Scaling factor energy production,,,,
scaling_factor_invest_level,Scaling factor invest level,,,,
scaling_factor_techno_consumption,Scaling factor techno consumption,,,,
scaling_factor_techno_production,Scaling factor techno production,,,,
scenario_list,Scenario List,,,,
scenario_name,Scenario,,"Environmental scenarios described by the International Energy Agency (CPS : Current Policies Scenario, STEPS : Stated Policies Scenario, SDS : Sustainable Development Scenario, HE : High Electricity price level, LE : Low Electricity price level)",,D - Nominal property
solid_fuel_CoalExtraction_array_mix,Solid fuel CoalExtraction array mix,%,,,
solid_fuel_Pelletizing_array_mix,Solid fuel Pelletizing array mix,%,,,
solid_fuel_array_mix,Solid fuel array mix,%,,,
solid_fuel_elec_constraint_ref,Solid energy and electricity constraint reference,,Solid energy and electricity reference for constraint computation,,
solid_fuel_elec_percentage,Solid fuel elec percentage,,,,
syngas.data_fuel_dict,Syngas data fuel dict,,,,
syngas_BiomassGasification_array_mix,BiomassGasification array mix,%,,,
syngas_CoalGasification_array_mix,CoalGasification array mix,%,,,
syngas_SMR_array_mix,SMR array mix,%,,,
syngas_array_mix,Syngas array mix,%,,,
syngas_prod_objective,Syngas prod objective,TWh,,,
syngas_prod_ref,Syngas production constraint reference,TWh,Syngas production constraint reference for objective computation,,
syngas_ratio,Molar ratio of CO/H2,%,,,
syngas_ratio_technos,Technology Molar ratio of CO/H2,%,,,
techno_consumption,Technology Consumption Quantities,TWh or Mt,,,
techno_consumption_woratio,Techno consumption woratio,,,,
techno_detailed_consumption,Techno detailed consumption,TWh or Mt,,,
techno_detailed_prices,Technology Detailed Prices,$/MWh,,,
techno_detailed_production,Techno detailed production,TWh or Mt,,,
techno_infos_dict,Production Technology Properties,,,,
techno_invest_df,Technology Investments,$,Dataframe of investments for each technology type over the years for a given energy,,
techno_mix,Technologies Mix,%,,,
techno_prices,Technology Prices,$/MWh,Technology Prices,,
techno_production,Technology Production Quantities,TWh or Mt,,,
technologies_list,Technologies List,,,,
time_step,Time step,year,Time step in years per period,,AAAFAA - duration
tol_constraint,Tol constraint,,,,
total_energy_demand,Total Energy Demand,TWh,,,
total_prod_h2_liquid,Total prod h2 liquid,TWh,,,
total_prod_minus_min_prod_constraint_df,Total prod minus min prod constraint df,TWh,,,
total_prod_minus_min_prod_constraint_ref,Total prod minus min prod constraint ref,,,,
total_prod_solid_fuel_elec,Total prod solid fuel elec,TWh,,,
transport_cost,Transport Cost,$/t,,,
transport_margin,Transport Margin,%,,,
transport_margin_factor_all_scenario,Transport Margin Factor All Scenario,$/kg,,,
transport_margin_factor_scenario,Transport Margin Scenario,%,,,
transport_price_all_scenario,Transport Price All Scenario,$/kg,,,
transport_price_scenario,Transport Price Scenario,$/kg,,,
year_end,Ending year,year,Final year of the study,,D - Nominal property
year_start,Starting year,year,Initial year of the study,,D - Nominal property
yeart_end,Ending year,year,,,
yeart_start,Starting year,year,,,
