years,production,unit
1990,2191.0,TWh
1995,2545.90,TWh
2000,2695.60,TWh
2005,3019.30,TWh
2010,3535.90,TWh
2015,3981.70,TWh
2018,4313.20,TWh
2019,4329.0,TWh
2020,4343.51,TWh
2021,4275.47,TWh
2022,4298.82,TWh
2023,4197.92,TWh
