years,production,unit
1970,55.,TWh
1979,575.,TWh
1983,922.,TWh
1988,1727.,TWh
1991,1988.,TWh
1999,2378.,TWh
2004,2616.,TWh
2010,2629.,TWh
2012,2346.,TWh
2020,2553.,TWh
2021,2486.,TWh
2022,2486.,TWh
2023,2601.617,TWh
